ID,Assigned Stage,Assigned Choice Rank
3XdluvWkn4NM3gFsvPNCtUDM5Oi1,lesé,none
4Bf1mBR9HjcLeFcDeuEVRrGDaU63,lesé,none
4XpuWt6oUEgmQ9IjEloUtqyd4c43,lesé,none
4qoWztDujictoqTEJvJK6xF1Zcr1,lesé,none
6Kza76qZHxOb8TlrP068rdr93br1,lesé,none
8M3ZbwOu7tgpTAY5sfxeVKBoBUI3,lesé,none
8YkNXMIQd4OiFHX0Ljm4LKsbZ2A2,lesé,none
A5gF87EUo6NdCaKoemDLN5V4gkF2,lesé,none
AXP0X3rUqzbpG3thTZcuZ6Ax1no1,lesé,none
AaVsgnDJcfc4ZG8BwfCezt1VSZA3,lesé,none
C2QrJqemFxaWOoBUDF2tTRgXqnx2,lesé,none
H4RtKMKXpYhJkTOTOOm62ANGNAo2,lesé,none
Hnqd1QWfsafGdmWBECGv7owgJFt2,lesé,none
IBhyDws6lPNCFbIz9ZjfNf3WgGm2,lesé,none
Jg1Ejqc46rbcTHBwOMRYZZRwbTE2,lesé,none
KplEdkaz5na6IzzQUFxy8ldozMA2,lesé,none
M8ySAiobcuStMPVUKB1SUjfZO2D2,lesé,none
N8koxvd1HBPOd8JW608fml7v9G82,lesé,none
NKzeoLK9hlSWLKHy858f84dZ7jz1,lesé,none
NR8huwU63SO8aHfW5e7UxN0mw0i1,lesé,none
Na44fbbTNZUjn7JIw6bBgLmTGmB2,lesé,none
PQKKiABo9oWhgcOKlmD5f1kKPoF3,lesé,none
QzBEdtlEIsfsg3pD6B1adFBmZSG2,lesé,none
R0lJR6Su1wcDPzzzbrkcObRyjTO2,lesé,none
R5PCIOnQeUhRSyFRTI9fg0Wp8p23,lesé,none
RY3eRRvuMhcM10siGR3QdhIHBI42,lesé,none
SodSajGZ6lhfjjwB8YB4pMYT3hZ2,lesé,none
T70EwGWJMtZ22rcprSkqiOcPzTf1,lesé,none
VO9wOi3JGvVchoaQvtNTidOABe03,lesé,none
Vnf1L8xxhFheK6RE3P18MGzMDkc2,lesé,none
WwfAPnGOElWCCprK8J9QpARedqV2,lesé,none
XK3sK3I48cMs89evbLhJZwBNlS92,lesé,none
XQtDBAPWalffkax0p7ml1k0yOtr2,lesé,none
YiI50LxSiZYDXMtiCNf6kwEWSQ42,lesé,none
Z17WasZ4jjTqI5MnidpGgjIF0sX2,lesé,none
aMpDSmIIsjZHIHJrVFGyKiLF94j2,lesé,none
atQ2mk9k2lUYzt9nrJgwsjyzz702,lesé,none
bTZVtsHKMuUL7MH05G4HxVdGvxt2,lesé,none
ba23,lesé,none
db0aQCgPMGgusm21XWqJ6RkXRvU2,lesé,none
djz1MyC7JsYen1wobYSUQC4aeF92,lesé,none
fE3EIKzXzKd3e7k8xoye5uc3PPd2,lesé,none
fgw7KyTqr4WAoThi0KjJtDRY7Ri2,lesé,none
h21ZyIpknGUksWjxUDLo2Mthwy92,lesé,none
hZTRrS8UMrfybYXKulfk1pI03jw2,lesé,none
i3VYPIfwLqTWfAL1E5HeHRRM5TE3,lesé,none
kBlGnRSNhgaQSTPumpAz4jZ7pgq2,lesé,none
lMzLCfyBONNuxRa5AzM2VPnTpOx1,lesé,none
lQVKbNduW7gdmCOBxC5KYnaIvGG3,lesé,none
lRjmWjDaAUcsqHli7A3rfvAazgl2,lesé,none
mGwDQ6cu9BfI9d0sLUVdZBnoooB2,lesé,none
nqvttcCyf3SL6YT1DJJ8GGM3MKz2,lesé,none
qMjlyqwW8wN9IsVapiUoCXrJjOG2,lesé,none
qhCrypuoDXc5zIWJAD9dOL8Ljv63,lesé,none
sJ0z0k4idEg6PMCnMrjW3lho9cs1,lesé,none
ta5fEsMcBHV64fLfjy7knGlQVd93,lesé,none
tc2VPj6NxHQyXqO9cxgs1VvCH9A2,lesé,none
ugBbi96TQGRuQLKFwT43qJHa4za2,lesé,none
uwUTp2rxDHhytEej6vKfcVlOCY73,lesé,none
v0Bv2oLhCkhDJvVvXktZsmnj16U2,lesé,none
wb6ciGEN2tVpmU0Ld5ftdVCy1Qi1,lesé,none
yWShM6jbuNcck2CfI0ihEtckesW2,lesé,none
yn7VMvQNy8gz9G2SrHjsYIuCfxA2,lesé,none
zss86bdGCVgvYgWzkc8dK7qLNi92,lesé,none
