ID,Assigned Stage,Assigned Choice Rank
3XdluvWkn4NM3gFsvPNCtUDM5Oi1,20_1,1
4Bf1mBR9HjcLeFcDeuEVRrGDaU63,89_1,1
4XpuWt6oUEgmQ9IjEloUtqyd4c43,3_1,1
4qoWztDujictoqTEJvJK6xF1Zcr1,50_1,2
6Kza76qZHxOb8TlrP068rdr93br1,55_1,2
8YkNXMIQd4OiFHX0Ljm4LKsbZ2A2,4_1,1
A5gF87EUo6NdCaKoemDLN5V4gkF2,9_1,1
AXP0X3rUqzbpG3thTZcuZ6Ax1no1,49_1,2
AaVsgnDJcfc4ZG8BwfCezt1VSZA3,101_1,4
H4RtKMKXpYhJkTOTOOm62ANGNAo2,52_1,1
Hnqd1QWfsafGdmWBECGv7owgJFt2,43_1,2
Jg1Ejqc46rbcTHBwOMRYZZRwbTE2,95_1,2
KplEdkaz5na6IzzQUFxy8ldozMA2,63_1,2
M8ySAiobcuStMPVUKB1SUjfZO2D2,22_1,1
NKzeoLK9hlSWLKHy858f84dZ7jz1,41_1,2
Na44fbbTNZUjn7JIw6bBgLmTGmB2,35_1,1
PQKKiABo9oWhgcOKlmD5f1kKPoF3,92_1,1
QzBEdtlEIsfsg3pD6B1adFBmZSG2,87_1,1
R5PCIOnQeUhRSyFRTI9fg0Wp8p23,94_1,3
RY3eRRvuMhcM10siGR3QdhIHBI42,0_1,4
SodSajGZ6lhfjjwB8YB4pMYT3hZ2,85_1,5
T70EwGWJMtZ22rcprSkqiOcPzTf1,44_1,1
VO9wOi3JGvVchoaQvtNTidOABe03,18_1,3
Vnf1L8xxhFheK6RE3P18MGzMDkc2,51_1,3
WwfAPnGOElWCCprK8J9QpARedqV2,40_1,3
XK3sK3I48cMs89evbLhJZwBNlS92,lesé,none
XQtDBAPWalffkax0p7ml1k0yOtr2,15_1,5
YiI50LxSiZYDXMtiCNf6kwEWSQ42,lesé,none
aMpDSmIIsjZHIHJrVFGyKiLF94j2,lesé,none
atQ2mk9k2lUYzt9nrJgwsjyzz702,lesé,none
db0aQCgPMGgusm21XWqJ6RkXRvU2,14_1,1
djz1MyC7JsYen1wobYSUQC4aeF92,6_1,5
fE3EIKzXzKd3e7k8xoye5uc3PPd2,32_1,4
fgw7KyTqr4WAoThi0KjJtDRY7Ri2,26_1,2
h21ZyIpknGUksWjxUDLo2Mthwy92,lesé,none
hZTRrS8UMrfybYXKulfk1pI03jw2,lesé,none
i3VYPIfwLqTWfAL1E5HeHRRM5TE3,16_1,5
kBlGnRSNhgaQSTPumpAz4jZ7pgq2,36_1,4
lQVKbNduW7gdmCOBxC5KYnaIvGG3,56_1,2
lRjmWjDaAUcsqHli7A3rfvAazgl2,62_1,3
mGwDQ6cu9BfI9d0sLUVdZBnoooB2,lesé,none
nqvttcCyf3SL6YT1DJJ8GGM3MKz2,59_1,2
qMjlyqwW8wN9IsVapiUoCXrJjOG2,lesé,none
sJ0z0k4idEg6PMCnMrjW3lho9cs1,13_1,1
ta5fEsMcBHV64fLfjy7knGlQVd93,lesé,none
tc2VPj6NxHQyXqO9cxgs1VvCH9A2,lesé,none
ugBbi96TQGRuQLKFwT43qJHa4za2,lesé,none
uwUTp2rxDHhytEej6vKfcVlOCY73,lesé,none
v0Bv2oLhCkhDJvVvXktZsmnj16U2,lesé,none
wb6ciGEN2tVpmU0Ld5ftdVCy1Qi1,lesé,none
yWShM6jbuNcck2CfI0ihEtckesW2,lesé,none
yn7VMvQNy8gz9G2SrHjsYIuCfxA2,lesé,none
zss86bdGCVgvYgWzkc8dK7qLNi92,lesé,none
