Student ID,Zero Criteria
3XdluvWkn4NM3gFsvPNCtUDM5Oi1,"ALL, AMBU, MSQ, NEUROGER"
4Bf1mBR9HjcLeFcDeuEVRrGDaU63,"ALL, AMBU, NEUROGER, SYSINT"
4XpuWt6oUEgmQ9IjEloUtqyd4c43,"AIGU, ALL, AMBU, NEUROGER, SYSINT"
4qoWztDujictoqTEJvJK6xF1Zcr1,"AIGU, ALL, AMBU, MSQ, NEUROGER, REHAB, SYSINT"
6Kza76qZHxOb8TlrP068rdr93br1,"ALL, AMBU, NEUROGER, SYSINT"
8M3ZbwOu7tgpTAY5sfxeVKBoBUI3,"ALL, AMBU, MSQ, NEUROGER"
8YkNXMIQd4OiFHX0Ljm4LKsbZ2A2,"AIGU, SYSINT"
A5gF87EUo6NdCaKoemDLN5V4gkF2,"AIGU, AMBU, NEUROGER"
AXP0X3rUqzbpG3thTZcuZ6Ax1no1,"ALL, AMBU, NEUROGER, REHAB"
AaVsgnDJcfc4ZG8BwfCezt1VSZA3,"AIGU, ALL, SYSINT"
C2QrJqemFxaWOoBUDF2tTRgXqnx2,"AIGU, ALL, SYSINT"
H4RtKMKXpYhJkTOTOOm62ANGNAo2,"AIGU, AMBU, NEUROGER, SYSINT"
Hnqd1QWfsafGdmWBECGv7owgJFt2,"AIGU, ALL, AMBU, MSQ, SYSINT"
IBhyDws6lPNCFbIz9ZjfNf3WgGm2,"ALL, AMBU, MSQ, NEUROGER, REHAB"
Jg1Ejqc46rbcTHBwOMRYZZRwbTE2,"ALL, AMBU, NEUROGER, SYSINT"
KplEdkaz5na6IzzQUFxy8ldozMA2,"AIGU, ALL, AMBU, NEUROGER, SYSINT"
M8ySAiobcuStMPVUKB1SUjfZO2D2,"AIGU, AMBU, NEUROGER"
N8koxvd1HBPOd8JW608fml7v9G82,"AIGU, ALL, SYSINT"
NKzeoLK9hlSWLKHy858f84dZ7jz1,"AIGU, AMBU, MSQ, SYSINT"
NR8huwU63SO8aHfW5e7UxN0mw0i1,"AIGU, ALL, SYSINT"
Na44fbbTNZUjn7JIw6bBgLmTGmB2,"AIGU, ALL, SYSINT"
PQKKiABo9oWhgcOKlmD5f1kKPoF3,"AIGU, AMBU, NEUROGER, SYSINT"
QzBEdtlEIsfsg3pD6B1adFBmZSG2,"ALL, AMBU, MSQ, NEUROGER, REHAB"
R0lJR6Su1wcDPzzzbrkcObRyjTO2,"AIGU, ALL, SYSINT"
R5PCIOnQeUhRSyFRTI9fg0Wp8p23,"AIGU, ALL, AMBU, MSQ, SYSINT"
RY3eRRvuMhcM10siGR3QdhIHBI42,"ALL, AMBU, NEUROGER, SYSINT"
SodSajGZ6lhfjjwB8YB4pMYT3hZ2,"ALL, AMBU, MSQ, SYSINT"
T70EwGWJMtZ22rcprSkqiOcPzTf1,"AIGU, ALL, AMBU, NEUROGER, SYSINT"
VO9wOi3JGvVchoaQvtNTidOABe03,"AMBU, SYSINT"
Vnf1L8xxhFheK6RE3P18MGzMDkc2,"AIGU, AMBU, NEUROGER, SYSINT"
WwfAPnGOElWCCprK8J9QpARedqV2,"AIGU, AMBU, NEUROGER, SYSINT"
XK3sK3I48cMs89evbLhJZwBNlS92,"AIGU, ALL, AMBU, MSQ, SYSINT"
XQtDBAPWalffkax0p7ml1k0yOtr2,"AIGU, ALL, AMBU, MSQ, SYSINT"
YiI50LxSiZYDXMtiCNf6kwEWSQ42,"ALL, AMBU, MSQ, REHAB, SYSINT"
Z17WasZ4jjTqI5MnidpGgjIF0sX2,"AIGU, ALL, AMBU, MSQ, SYSINT"
aMpDSmIIsjZHIHJrVFGyKiLF94j2,"AIGU, ALL, AMBU, NEUROGER, SYSINT"
atQ2mk9k2lUYzt9nrJgwsjyzz702,"AIGU, ALL, AMBU, MSQ, SYSINT"
bTZVtsHKMuUL7MH05G4HxVdGvxt2,"AIGU, ALL, AMBU, MSQ, NEUROGER, REHAB, SYSINT"
db0aQCgPMGgusm21XWqJ6RkXRvU2,"AIGU, AMBU, NEUROGER, SYSINT"
djz1MyC7JsYen1wobYSUQC4aeF92,"ALL, AMBU, MSQ, NEUROGER"
fE3EIKzXzKd3e7k8xoye5uc3PPd2,"AIGU, ALL, AMBU, MSQ, SYSINT"
fgw7KyTqr4WAoThi0KjJtDRY7Ri2,"AIGU, ALL, AMBU, MSQ, SYSINT"
h21ZyIpknGUksWjxUDLo2Mthwy92,"AMBU, SYSINT"
hZTRrS8UMrfybYXKulfk1pI03jw2,"AIGU, NEUROGER, SYSINT"
i3VYPIfwLqTWfAL1E5HeHRRM5TE3,"AIGU, AMBU, NEUROGER, SYSINT"
kBlGnRSNhgaQSTPumpAz4jZ7pgq2,"AIGU, ALL, SYSINT"
lMzLCfyBONNuxRa5AzM2VPnTpOx1,"AIGU, ALL, AMBU, MSQ, SYSINT"
lQVKbNduW7gdmCOBxC5KYnaIvGG3,"AIGU, ALL, AMBU, NEUROGER, SYSINT"
lRjmWjDaAUcsqHli7A3rfvAazgl2,"AIGU, ALL, AMBU, NEUROGER, SYSINT"
mGwDQ6cu9BfI9d0sLUVdZBnoooB2,"AMBU, SYSINT"
nqvttcCyf3SL6YT1DJJ8GGM3MKz2,"ALL, AMBU, MSQ, SYSINT"
qMjlyqwW8wN9IsVapiUoCXrJjOG2,"AIGU, AMBU, NEUROGER"
qhCrypuoDXc5zIWJAD9dOL8Ljv63,"ALL, AMBU, MSQ, NEUROGER, REHAB"
sJ0z0k4idEg6PMCnMrjW3lho9cs1,"ALL, AMBU, MSQ, REHAB, SYSINT"
ta5fEsMcBHV64fLfjy7knGlQVd93,"AMBU, SYSINT"
tc2VPj6NxHQyXqO9cxgs1VvCH9A2,"AIGU, AMBU, NEUROGER, SYSINT"
ugBbi96TQGRuQLKFwT43qJHa4za2,"ALL, AMBU, MSQ, NEUROGER"
uwUTp2rxDHhytEej6vKfcVlOCY73,"AIGU, ALL, AMBU, NEUROGER, SYSINT"
v0Bv2oLhCkhDJvVvXktZsmnj16U2,"ALL, AMBU, MSQ, NEUROGER, REHAB"
wb6ciGEN2tVpmU0Ld5ftdVCy1Qi1,"AIGU, AMBU, NEUROGER"
yWShM6jbuNcck2CfI0ihEtckesW2,"AIGU, ALL, AMBU, NEUROGER, SYSINT"
yn7VMvQNy8gz9G2SrHjsYIuCfxA2,"AIGU, AMBU, NEUROGER"
zss86bdGCVgvYgWzkc8dK7qLNi92,"AIGU, ALL, AMBU, MSQ, SYSINT"
